,name,Largest cavity diameter (?),Pore limiting diameter (?),Largest free pore diameter (?),Density (cm^3/g),Accessible Surface Area (m^2/cm^3),Accessible Surface Area (m^2/g),Nonaccessible Surface Area (m^2/cm^3),Nonaccessible surface area (m^2/g),Accessible volume volume fraction,Accessible Volume (cm^3/g),Nonaccessible Volume (cm^3/g),Metal type,Has open metal site,Type of open metal,Extension,overlap with Free solvent remove COREMOF,from CSD database,public,Has disorder,CSD_overlap_inCoRE,CSD_of_WoS_inCoRE,CSD_overlap_inCCDC,date_CSD,DOI_public,Note,Matched_CSD_of_CoRE,Possible_List_CSD_of_CoRE,,,,,,,,,,,,,,,,,,,,
7381,NEJSOM_clean,5.41485,4.53855,5.40953,1.12052,1544.19,1378.11,0,0,0.5672,0.506195,0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7383,NEKBEL_clean,4.90746,3.89074,4.89557,1.60125,914.813,571.31,2.67246,1.66898,0.5046,0.315128,0,"W,Co",Yes,Co,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7384,NEKMUN_clean,5.69957,3.6274,5.51939,1.30616,1011.9,774.717,0,0,0.4788,0.366572,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7385,NEKREB_clean,7.13295,5.12512,7.13295,1.3542,1081.87,798.902,136.454,100.763,0.5622,0.415152,0,Pd,Yes,Pd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7387,NELVAC_clean,4.82648,4.29457,4.79942,1.65303,931.318,563.4,0,0,0.5062,0.306225,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7388,NELVEG_clean,4.88877,3.9894,4.88281,1.93052,846.514,438.489,0,0,0.4838,0.250606,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7389,NELWIL_clean,3.58332,2.90369,3.50223,1.68506,0,0,51.1153,30.3344,0.4086,0.242484,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7390,NENFAN_clean,7.3527,6.48023,7.3527,2.08229,1229.05,590.24,0,0,0.526,0.252607,0,Ga,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7391,NENHAQ_clean,10.30187,9.48231,10.30187,0.81249,1810.52,2228.36,0,0,0.7266,0.894287,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7392,NENHEU_clean,9.96925,9.18698,9.96925,1.10683,1750.22,1581.3,0,0,0.6956,0.628464,0,Zn,Yes,Zn,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7394,NEPWIQ_clean,4.3412,3.92268,4.32302,2.14557,765.165,356.625,0,0,0.4758,0.221759,0,Er,Yes,Er,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7395,NERMON_clean,5.21245,4.69214,4.9752,1.84917,802.953,434.223,0,0,0.4356,0.235565,0,Er,Yes,Er,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7396,NERNON_charged,6.35292,3.79738,6.26017,1.1566,1285.87,1111.77,0,0,0.5552,0.480028,0,"Yb,Ni",No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7398,NERTAH_clean,4.54882,3.46995,4.4502,1.3343,589.598,441.88,43.1614,32.3477,0.4772,0.357642,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7399,NERVAJ_clean,12.53445,5.46518,12.53445,1.01277,1389.34,1371.82,0,0,0.569,0.561827,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7400,NERVEL_clean,4.91794,2.50642,4.91794,1.41245,0,0,518.734,367.258,0.4352,0.308117,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7401,NERVEN_clean,12.25139,5.76203,12.25139,1.08035,1360.26,1259.1,0,0,0.5706,0.528164,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7404,NERVOV_clean,5.20555,2.77559,5.20555,1.37844,0,0,616.859,447.505,0.4452,0.322974,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7408,NESVAK_charged,11.02589,4.28602,10.76042,0.996288,2238.65,2246.99,0.0572152,0.0574284,0.7148,0.717463,0,Cd,No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7409,NESVEO_charged,10.20306,4.32155,10.18509,0.904718,2332.63,2578.3,0,0,0.6856,0.757805,0,Zn,No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7410,NETFAU_clean,5.9815,3.37252,5.81349,1.64572,938.309,570.151,0,0,0.5186,0.31512,0,"W,Eu",Yes,Eu,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7411,NETFEY_clean,5.99191,3.34732,5.84787,1.56583,1062.01,678.245,0,0,0.5366,0.342695,0,"W,Nd",Yes,Nd,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7412,NETHOJ_clean_h,4.97649,4.04567,4.52041,1.68332,1607.37,954.88,0,0,0.565,0.335646,0,Dy,Yes,Dy,clean_h,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7413,NETRIN_clean,5.56191,3.11695,5.55591,1.85142,0,0,827.385,446.893,0.4814,0.260017,0,"Zn,Al",No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7415,NETYIV_clean,8.05298,7.05859,8.05298,0.781018,1992.35,2550.96,0,0,0.686,0.878341,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7414,NETYIV01_clean,8.07265,7.09602,8.06746,0.782971,2020.36,2580.37,0,0,0.686,0.87615,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7417,NEVJEF_clean,6.93106,3.47964,6.92655,1.61189,1003.29,622.432,0,0,0.4932,0.305976,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7418,NEVJOP_clean,5.38691,3.04693,5.37271,1.49125,0,0,826.233,554.055,0.458,0.307125,0,Zn,Yes,Zn,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7419,NEVPOU_clean,6.31655,5.18077,6.31594,1.2374,1037.41,838.376,200.543,162.068,0.5652,0.456764,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7420,NEVPUA_charged,6.37646,5.20524,6.37646,1.60506,1041.49,648.879,0,0,0.4822,0.300425,0,"Cd,Cu",Yes,Cu,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7421,NEVQAH_charged,6.33826,5.17201,6.33534,1.7631,1025.51,581.65,0,0,0.477,0.270547,0,"Cu,Hg",Yes,Cu,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7424,NEVVAM_clean,6.98127,5.93133,6.98127,1.4203,1415.91,996.914,0,0,0.523,0.368233,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7422,NEVVAM01_clean,6.94552,5.78544,6.80825,1.42342,1408.53,989.544,0,0,0.5446,0.3826,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7423,NEVVAM02_clean,6.83817,5.86962,6.83673,1.42399,1416.84,994.976,0,0,0.5302,0.372334,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7425,NEVVEQ_clean,4.80581,3.79614,4.80581,1.56913,728.185,464.069,0,0,0.453,0.288695,0,Co,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7429,NEXDOK_charged,7.15126,3.56969,7.13771,1.0729,864.959,806.188,0,0,0.517,0.481871,0,"Na,Fe",Yes,Na,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7430,NEXVET_clean,15.05129,7.94511,15.02301,0.572296,2220.51,3880.01,0,0,0.8096,1.41465,0,Ni,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7431,NEXVUI_clean,9.07531,8.9508,9.07531,1.35917,693.606,510.314,30.665,22.5615,0.5322,0.391561,0,Cd,Yes,Cd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7432,NEXXEV_clean,10.14339,9.60102,10.14163,0.701942,1675.6,2387.1,0,0,0.6396,0.911186,0,Li,Yes,Li,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7433,NEXXIZ_clean,9.73301,9.22346,9.73301,0.709285,1668.91,2352.94,0,0,0.6328,0.892166,0,Li,Yes,Li,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7435,NEYJIM_clean,8.63602,2.71972,8.63602,1.95132,0,0,802.829,411.428,0.494,0.253162,0,"Mo,Cu",Yes,"Mo,Cu",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7436,NEYVEU_clean,20.18169,6.42425,20.08436,0.514184,2007.78,3904.79,0,0,0.7952,1.54653,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7437,NEYYIZ_clean,5.77965,3.26538,5.77965,0.966711,0,0,1318.69,1364.09,0.6446,0.666797,0,"Rb,Cr",No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7439,NEYYUN_clean,4.68454,4.06012,4.68454,1.064,2087.99,1962.4,0,0,0.6166,0.579512,0,Ni,Yes,Ni,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7440,NEYZAU_clean,4.66904,4.09054,4.65339,0.942406,2112.21,2241.29,0,0,0.6186,0.656405,0,Mg,Yes,Mg,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7441,NEZBOK_clean,4.10684,2.45206,4.09161,1.77885,0,0,515.863,289.998,0.4652,0.261517,0,Mn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7443,NEZWOG_clean,6.42146,5.18119,6.41863,1.71364,1489.36,869.12,0,0,0.552,0.322122,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7442,NEZWOG01_clean,6.15081,4.94067,6.15081,1.68632,1580.27,937.116,0,0,0.5538,0.328408,0,La,Yes,La,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7444,NHBZZN10_clean_h,3.40814,2.94018,3.40605,1.53975,0,0,8.85064,5.74812,0.3652,0.237182,0,Zn,No, ,clean_h,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7446,NIBHOW_clean,27.51057,14.88459,27.48878,0.279595,1425.71,5099.19,0,0,0.8844,3.16315,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7447,NIBHUC_clean,18.86769,11.8721,18.86769,0.449382,1927.35,4288.89,0,0,0.8286,1.84387,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7448,NIBJAK_clean,32.00355,17.55175,32.00033,0.223433,1188.94,5321.22,0,0,0.9102,4.0737,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7456,NIBXUT_clean,6.21117,5.18074,6.19848,1.9388,1406.45,725.426,0,0,0.5234,0.269961,0,Gd,Yes,Gd,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7457,NICCAE_clean,4.49529,2.75227,4.4354,1.75349,0,0,580.072,330.811,0.455,0.259483,0,Al,Yes,Al,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7459,NICJUG_clean,4.89962,3.36041,4.89962,1.72542,148.084,85.8247,0,0,0.4514,0.261617,0,"Cu,Ba",Yes,"Cu,Ba",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7461,NICZAA_clean,5.31469,3.10349,5.31454,1.72513,0,0,747.069,433.051,0.4908,0.2845,0,Cd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7460,NICZAA01_charged,4.00516,3.15639,3.94779,1.11886,0,0,402.452,359.698,0.5398,0.482456,0,Cd,No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7462,NIFTIH_clean,4.90975,3.65701,4.90975,1.37616,1012.21,735.536,0,0,0.5236,0.380479,0,Cd,Yes,Cd,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7463,NIFYOS_charged,4.24016,2.53939,4.22534,1.87595,0,0,110.995,59.1673,0.363,0.193502,0,"Lu,Co",No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7464,NIFYUY_charged,4.15669,2.51406,4.15669,1.90598,0,0,89.9441,47.1905,0.3582,0.187935,0,"Tm,Co",No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7465,NIFZAF_charged,4.17253,2.45555,4.11089,1.85067,0,0,99.2507,53.6295,0.3742,0.202197,0,"Ho,Co",No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7466,NIFZEJ_charged,4.12175,2.40891,4.07482,1.87,0,0,98.1237,52.4724,0.35,0.187165,0,"Dy,Co",No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7467,NIFZIN_charged,4.18418,2.51288,4.16421,1.85544,0,0,79.4149,42.8012,0.3532,0.19036,0,"Tb,Co",No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7468,NIFZOT_charged,4.51709,2.45327,4.21897,1.74021,0,0,167.078,96.0102,0.3962,0.227674,0,"Gd,Co",No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7469,NIFZUZ_clean,4.47146,2.86287,4.11273,1.6227,0,0,253.773,156.389,0.4366,0.269058,0,"Eu,Co",Yes,Eu,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7470,NIGBOW_clean,11.80846,11.56903,11.80846,0.664854,1743.47,2622.33,0,0,0.7086,1.0658,0,V,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7471,NIGDEO_clean,13.9402,7.42068,13.92619,0.633535,2119.03,3344.77,0,0,0.7538,1.18983,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7472,NIGDIS_clean,14.03164,7.36423,14.03164,0.622681,2210.2,3549.5,0,0,0.7674,1.23241,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7473,NIGFIT_clean,7.4378,4.64365,7.4378,1.2326,2395.77,1943.66,0,0,0.659,0.53464,0,Er,Yes,Er,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7474,NIGFOZ_clean,7.49823,4.6446,7.49513,1.19407,2411.1,2019.23,0,0,0.6618,0.554241,0,Tb,Yes,Tb,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7475,NIGFUF_clean,7.45855,4.62821,7.45855,1.23037,2420.25,1967.09,0,0,0.6578,0.534636,0,Dy,Yes,Dy,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7476,NIGGAM_clean,7.44488,4.63983,7.44488,1.22204,2431.75,1989.92,0,0,0.6646,0.543847,0,Ho,Yes,Ho,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7477,NIGGEQ_clean,7.37601,4.62938,6.94846,1.24921,2427.77,1943.44,0,0,0.6582,0.526892,0,Tm,Yes,Tm,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7478,NIGGIU_clean,7.3331,4.59835,7.3331,1.27304,2426.84,1906.33,0,0,0.656,0.5153,0,Yb,Yes,Yb,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7479,NIGHOA_charged,3.71107,2.8497,3.71107,1.47773,0,0,62.3071,42.1639,0.4042,0.273527,0,Cu,No, ,charged,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7480,NIGLUK_clean,5.06191,2.80356,5.05782,1.26749,0,0,439.885,347.052,0.4414,0.348248,0,Cu,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7482,NIGNUO_clean,16.88905,3.72632,16.88905,0.773731,1979.77,2558.73,0,0,0.6948,0.897987,0,Co,Yes,Co,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7484,NIGPEA_clean,10.42385,9.24875,10.42385,0.730648,2142,2931.64,0,0,0.6842,0.936428,0,Co,Yes,Co,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7487,NIHBAI_clean,4.7247,3.65018,4.71583,1.7748,745.205,419.881,0,0,0.4386,0.247126,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7485,NIHBAI01_clean,4.75768,3.68765,4.75768,1.76453,773.951,438.616,0,0,0.4424,0.250719,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7486,NIHBAI02_clean,4.7992,3.7527,4.7992,1.74298,825.866,473.823,0,0,0.449,0.257604,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7490,NIHBEM_clean,4.82471,3.66332,4.81898,1.76393,749.866,425.111,0,0,0.4434,0.25137,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7488,NIHBEM01_clean,4.87963,3.68372,4.87963,1.74048,783.372,450.089,0,0,0.4496,0.258319,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7489,NIHBEM02_clean,5.01891,3.78432,5.01891,1.70287,870.252,511.052,0,0,0.4636,0.272247,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7493,NIHBIQ_clean,5.25122,3.88968,5.21988,1.66955,927.396,555.476,0,0,0.4762,0.285226,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7491,NIHBIQ01_clean,5.30133,3.89271,5.30133,1.65496,952.5,575.542,0,0,0.4798,0.289916,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7492,NIHBIQ02_clean,5.38184,3.95166,5.35574,1.6285,1006.66,618.147,0,0,0.4894,0.300521,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7494,NIHVUX_clean,7.06296,5.57011,7.05951,3.18911,938.163,294.177,124.289,38.973,0.4932,0.154651,0,"W,Mn,Ce",Yes,"W,Mn,Ce",clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7495,NIJSAC_clean,3.99361,3.37969,3.99361,1.5613,209.634,134.269,0,0,0.3722,0.238391,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7496,NIJTOR_clean,5.13346,3.60858,4.57199,1.35089,285.546,211.376,191.611,141.84,0.4084,0.302318,0,Co,Yes,Co,clean,N,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7499,NIJZIP_clean,9.04941,7.56212,9.04941,1.42787,1214.86,850.82,0,0,0.5802,0.406339,0,"Cu,Nd",Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7498,NIJZIP01_clean,8.50827,7.36867,8.50827,1.45663,1110.96,762.692,3.7965,2.60636,0.5674,0.38953,0,"Cu,Nd",Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7500,NIJZOV_clean,8.62609,7.08161,8.6236,1.5406,1133.11,735.501,0,0,0.5798,0.376347,0,"Cu,Er",Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7501,NIKCOB_clean,3.43305,2.58603,3.43305,1.58589,0,0,3.80632,2.40012,0.3914,0.246802,0,Ca,Yes,Ca,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7502,NIKDAM_clean,7.96983,7.14498,7.96983,0.958363,1366.23,1425.59,0,0,0.6056,0.631911,0,Ce,Yes,Ce,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7503,NIKDEQ_clean,3.61567,2.64277,3.60667,1.39315,0,0,66.439,47.6896,0.4256,0.305494,0,Gd,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7504,NIKDIU_clean,3.57373,2.52089,3.56154,1.39956,0,0,56.6035,40.4438,0.422,0.301523,0,Eu,Yes,Eu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7505,NIKHAS_clean,5.15286,4.051,5.1389,1.29378,835.081,645.456,0,0,0.4744,0.366676,0,Zn,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7510,NIKJIB_clean,7.23675,3.61132,7.23452,1.15081,1184.22,1029.04,0,0,0.5324,0.462633,0,Er,Yes,Er,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7511,NIKJOH_clean,5.92614,3.00956,5.92202,1.25543,0,0,1126.53,897.324,0.4956,0.394764,0,Sm,Yes,Sm,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7512,NIKJUN_clean,5.97101,2.84267,5.9634,1.37868,0,0,1106.78,802.784,0.4894,0.354977,0,"Dy,Cu",Yes,"Dy,Cu",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7513,NIKKAU_clean,5.93093,3.07516,5.91426,1.37567,0,0,1101.24,800.518,0.4814,0.34994,0,"Cu,Eu",Yes,"Cu,Eu",clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7514,NIKKIC_clean,5.94413,4.27315,5.93398,1.24613,1177.42,944.864,0,0,0.498,0.399638,0,Er,Yes,Er,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7517,NIKYOW_clean,4.56807,3.54686,4.56807,1.80221,654.259,363.032,0,0,0.4324,0.239928,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7515,NIKYOW01_clean,4.61161,3.58405,4.59865,1.78633,690.02,386.278,0,0,0.436,0.244076,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7516,NIKYOW02_clean,4.72463,3.68194,4.72463,1.75151,766.584,437.671,0,0,0.4498,0.256808,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7520,NIKYUC_clean,4.9018,3.64376,4.89963,1.7317,810.432,467.997,0,0,0.4504,0.260091,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7518,NIKYUC01_clean,4.94759,3.68791,4.94354,1.71164,846.153,494.351,0,0,0.4572,0.267112,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7519,NIKYUC02_clean,5.06856,3.78234,5.06856,1.67303,915.135,546.992,0,0,0.4718,0.282003,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7523,NIKZAJ_clean,4.56098,3.58427,4.53545,1.81346,655.548,361.491,0,0,0.426,0.234911,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7521,NIKZAJ01_clean,4.60883,3.61545,4.57384,1.79637,691.539,384.965,0,0,0.4298,0.23926,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7522,NIKZAJ02_clean,4.67382,3.68928,4.66396,1.76633,754.073,426.914,0,0,0.4402,0.249217,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7526,NIKZEN_clean,4.82301,3.70763,4.82301,1.74152,807.966,463.944,0,0,0.4514,0.259199,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7524,NIKZEN01_clean,4.86464,3.71164,4.85271,1.72603,830.972,481.435,0,0,0.4544,0.263263,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7525,NIKZEN02_clean,4.94738,3.78699,4.94738,1.70037,871.961,512.806,0,0,0.4662,0.274175,0,Fe,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7530,NIMPEG_clean,5.8871,5.25211,5.8871,0.735505,2646.72,3598.51,0,0,0.6844,0.930517,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7529,NIMPEG01_clean,8.44,5.51406,8.10508,0.6075,2688.56,4425.61,0,0,0.7444,1.22535,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7531,NIMPOQ_clean,9.48433,7.47639,9.46555,0.558554,2612.29,4676.87,0,0,0.765,1.36961,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7532,NIMQAC_clean,4.88726,4.1244,4.87966,1.793,775.011,432.243,0,0,0.4462,0.248857,0,Cu,Yes,Cu,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7533,NIMQAD_clean,18.5968,6.64733,18.5968,0.654728,2081.74,3179.55,0,0,0.7738,1.18187,0,Cu,Yes,Cu,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7534,NIMQEH_clean,23.25166,7.78548,23.25166,0.459453,1896.83,4128.44,0,0,0.8302,1.80693,0,Cu,Yes,Cu,clean,Y,Y,Y,DISORDER,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
7535,NIMTAE_clean,4.79937,4.4136,4.79752,1.0571,1265.99,1197.61,0,0,0.5494,0.519725,0,Ag,No, ,clean,Y,Y,Y,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,
