,cif_id,accessible_surface_area
8,bcu+N281+E229,5830.91162109375
9,bcu+N293+E10,6112.16796875
10,bcu+N293+E223,5589.83447265625
11,bcu+N672+E36,5199.201171875
12,bcu+N228+E223,5018.3935546875
13,bcu+N189+E59,5087.59130859375
14,bcu+N262+E39,5880.01953125
15,bcu+N281+E225,4897.85498046875
16,bcu+N204+E223,5065.26953125
17,bcu+N189+E39,5493.8505859375
18,bcu+N293+E1,6009.48681640625
19,bcu+N656+E229,5266.1669921875
20,bcu+N212+E59,5112.1455078125
21,bcu+N672+E1,4955.89208984375
22,bcu+N672+E225,5250.54150390625
23,bcu+N228+E229,6018.41552734375
24,bcu+N642+E1,5210.36181640625
25,bcu+N64+E229,5493.8505859375
26,bcu+N293+E229,5661.2646484375
27,bcu+N212+E1,5089.82373046875
28,bcu+N262+E59,4886.6943359375
29,bcu+N228+E225,5098.75244140625
30,bcu+N26+E229,5741.6240234375
31,bcu+N672+E39,5656.80029296875
32,bcu+N212+E39,5489.38623046875
33,bcu+N204+E10,5598.763671875
34,bcu+N228+E39,5719.3017578125
35,bcu+N293+E39,6040.73779296875
36,bcu+N212+E229,4978.2138671875
37,bcu+N672+E59,5714.83740234375
38,bcu+N362+E225,4560.7939453125
39,bcu+N656+E223,4424.63037109375
40,bcu+N642+E223,5013.92919921875
41,bcu+N642+E225,5098.75244140625
42,bcu+N204+E229,5598.763671875
43,bcu+N281+E59,5214.826171875
44,bcu+N204+E225,5554.11962890625
45,bcu+N672+E121,5181.34326171875
46,bcu+N204+E39,5705.90869140625
47,bcu+N189+E229,5540.7265625
48,bcu+N642+E59,5589.83447265625
49,bcu+N642+E229,5710.373046875
50,bcu+N228+E59,5308.57861328125
51,bcu+N281+E1,5714.83740234375
52,bcu+N281+E223,5067.501953125
53,bcu+N212+E223,4752.7626953125
54,bcu+N212+E225,5353.22216796875
55,bcu+N26+E1,5556.35205078125
56,bcu+N672+E223,4833.12158203125
57,bcu+N228+E10,5647.87158203125
58,bcu+N281+E36,5078.66259765625
59,bcu+N189+E1,5156.78955078125
60,bcu+N362+E59,5429.11669921875
61,bcu+N362+E229,4886.6943359375
62,bcu+N656+E1,5270.63134765625
63,bcu+N656+E225,5105.44921875
64,bcu+N362+E10,5884.48388671875
65,bcu+N262+E229,5630.01416015625
66,bcu+N262+E1,4969.28515625
67,bcu+N204+E1,5275.095703125
68,bcu+N362+E223,4513.91796875
69,bcu+N262+E225,4962.5888671875
